Epoch,Loss,Accuracy
1,2.6702048778533936,0.2666015625
2,1.9956375360488892,0.4384765625
3,1.6513605117797852,0.5302734375
4,1.4396636486053467,0.572265625
5,1.3132123947143555,0.591796875
6,1.2349878549575806,0.6142578125
7,1.1692346334457397,0.626953125
8,1.095847487449646,0.65625
9,1.0376288890838623,0.669921875
10,0.9965493679046631,0.6982421875
11,0.9500201940536499,0.7021484375
12,0.91774582862854,0.7119140625
13,0.8889875411987305,0.7177734375
14,0.8847773671150208,0.7216796875
15,0.8612381219863892,0.7275390625
16,0.812863826751709,0.7431640625
17,0.8064396977424622,0.728515625
18,0.7910425662994385,0.7373046875
19,0.7685983180999756,0.7548828125
20,0.7604761123657227,0.76171875
21,0.7521743774414062,0.76953125
22,0.7346286773681641,0.7685546875
23,0.7254761457443237,0.7666015625
24,0.6992493867874146,0.76953125
25,0.6946768760681152,0.7724609375
26,0.6706160306930542,0.7890625
27,0.6608312129974365,0.7919921875
28,0.6534470319747925,0.7802734375
29,0.619098424911499,0.802734375
30,0.6367989778518677,0.787109375
31,0.626776933670044,0.7919921875
32,0.5806576609611511,0.8125
33,0.5914829969406128,0.8115234375
34,0.5826053619384766,0.810546875
35,0.5890064239501953,0.8076171875
36,0.5535581111907959,0.818359375
37,0.557279109954834,0.814453125
38,0.5471776723861694,0.8232421875
39,0.5173078179359436,0.833984375
40,0.4996200501918793,0.8427734375
41,0.5089645385742188,0.8466796875
42,0.48287615180015564,0.8408203125
43,0.47677987813949585,0.853515625
44,0.4756593108177185,0.853515625
45,0.48680660128593445,0.84765625
46,0.47897201776504517,0.837890625
47,0.47740739583969116,0.8447265625
48,0.4339504837989807,0.85546875
49,0.4850353002548218,0.845703125
50,0.42575937509536743,0.8642578125
51,0.43937110900878906,0.8564453125
52,0.43114137649536133,0.8603515625
53,0.43316909670829773,0.8544921875
54,0.40647444128990173,0.87109375
55,0.4013926386833191,0.8642578125
56,0.42216625809669495,0.8720703125
57,0.4223681390285492,0.865234375
58,0.3771791458129883,0.8779296875
59,0.43295571208000183,0.8544921875
60,0.39409515261650085,0.876953125
61,0.36898499727249146,0.8779296875
62,0.39984166622161865,0.8701171875
63,0.392069935798645,0.875
64,0.41411489248275757,0.87109375
65,0.36067327857017517,0.890625
66,0.3239244520664215,0.8955078125
67,0.39316248893737793,0.8662109375
68,0.3616049885749817,0.8837890625
69,0.36789315938949585,0.8896484375
70,0.3682713508605957,0.880859375
71,0.34929513931274414,0.8779296875
72,0.375051885843277,0.87109375
73,0.34976404905319214,0.88671875
74,0.345317006111145,0.8994140625
75,0.3705616295337677,0.8828125
76,0.3632524013519287,0.888671875
77,0.3271375596523285,0.884765625
78,0.3406173586845398,0.892578125
79,0.3265538811683655,0.8857421875
80,0.34020549058914185,0.88671875
